file_id,file_size_gb,access_frequency,priority
F1,95.76,Medium,1
F2,10.18,Low,2
F3,84.9,High,2
F4,80.91,High,2
F5,54.09,Medium,1
F6,55.65,High,3
F7,88.66,Medium,3
F8,20.04,Low,1
F9,66.47,Medium,1
F10,85.68,Low,2
F11,28.52,High,2
F12,17.1,Medium,1
F13,67.35,High,3
F14,65.16,High,3
F15,17.94,High,1
F16,17.18,Medium,2
F17,98.96,High,3
F18,56.14,High,2
F19,84.44,Low,1
F20,82.36,Medium,2
F21,27.51,Low,3
F22,87.76,Medium,1
F23,65.89,Medium,3
F24,46.43,Medium,1
F25,25.42,High,3
F26,27.01,High,2
F27,89.88,Medium,2
F28,22.71,Low,3
F29,49.86,Low,1
F30,16.13,Low,3
F31,42.79,Low,2
F32,38.78,Medium,3
F33,25.89,High,1
F34,68.35,Low,3
F35,88.59,Medium,3
F36,34.68,Medium,2
F37,16.66,Low,3
F38,87.71,Medium,3
F39,76.43,High,1
F40,87.18,Medium,3
F41,51.26,Low,1
F42,38.02,Low,3
F43,95.4,High,1
F44,60.3,Medium,1
F45,12.07,Medium,2
F46,24.71,Low,3
F47,94.75,Low,3
F48,49.11,Low,3
F49,76.82,Low,3
F50,48.05,High,1
F51,27.24,High,2
F52,96.47,High,3
F53,69.3,High,2
F54,40.5,High,3
F55,37.97,High,2
F56,12.98,Low,1
F57,34.47,High,3
F58,23.78,Low,1
F59,8.03,High,1
F60,23.67,Low,2
F61,8.01,Low,2
F62,67.23,Low,3
F63,14.1,High,3
F64,47.79,Medium,2
F65,19.85,Low,3
F66,43.67,Medium,2
F67,47.24,High,1
F68,67.66,High,1
F69,7.0,High,2
F70,80.26,Low,1
F71,19.97,High,2
F72,14.88,Low,2
F73,46.8,Low,2
F74,80.99,High,1
F75,6.01,High,1
F76,96.93,Low,1
F77,41.23,Medium,1
F78,86.6,Low,1
F79,38.52,Medium,2
F80,92.73,Medium,2
F81,42.88,High,3
F82,66.53,Medium,1
F83,19.8,Low,1
F84,58.34,High,1
F85,75.05,Low,1
F86,58.83,High,3
F87,16.59,High,1
F88,85.28,Low,3
F89,7.73,Low,2
F90,12.87,High,1
F91,58.31,Low,3
F92,9.12,High,3
F93,56.96,Medium,2
F94,21.22,High,2
F95,24.63,Medium,1
F96,67.5,Medium,2
F97,32.3,Low,1
F98,46.37,High,1
F99,8.25,Low,3
F100,27.25,Medium,1
