file_id,file_size_gb
0,10.38
1,4.24
2,5.24
3,10.36
4,4.49
5,2.86
6,7.12
7,11.3
8,8.66
9,7.27
10,2.07
11,7.77
12,11.89
13,2.54
14,6.7
15,10.65
16,9.15
17,8.67
18,8.73
19,4.95
20,4.23
21,9.9
22,9.91
23,10.54
24,11.05
25,6.62
26,6.52
27,9.78
28,8.15
29,8.72
30,9.75
31,10.79
32,4.72
33,5.13
34,2.03
35,7.36
36,1.4
37,6.12
38,6.97
39,4.15
40,7.5
41,1.34
42,1.41
43,10.05
44,4.96
45,2.4
46,6.74
47,9.47
48,3.37
49,7.85
50,1.94
51,1.57
52,6.84
53,6.95
54,8.01
55,8.99
56,11.73
57,6.68
58,4.55
59,9.75
60,3.98
61,5.83
62,1.86
63,1.28
64,11.59
65,10.2
66,8.66
67,5.5
68,2.91
69,2.72
70,3.75
71,7.04
72,8.86
73,8.26
74,4.08
75,11.5
76,9.12
77,7.1
78,7.73
79,5.62
80,3.73
81,4.92
82,9.34
83,1.16
84,2.28
85,1.51
86,1.45
87,10.41
88,8.74
89,6.22
90,2.08
91,6.41
92,6.21
93,2.91
94,5.77
95,5.38
96,7.77
97,7.99
98,1.5
99,5.12
100,7.88
101,6.53
102,10.42
103,8.25
104,2.79
105,1.78
106,8.07
107,1.29
108,7.44
109,11.34
110,7.33
111,5.27
112,8.08
113,6.04
114,7.0
115,11.36
116,5.25
117,11.57
118,10.96
119,3.15
120,1.76
121,2.11
122,1.2
123,2.04
124,8.51
125,1.78
126,4.51
127,10.29
128,1.26
129,9.96
130,4.1
131,2.3
132,8.66
133,7.92
134,10.65
135,9.09
136,9.84
137,4.1
138,2.95
139,9.26
140,9.88
141,11.9
142,5.54
143,5.09
144,9.54
145,4.75
146,11.24
147,10.44
148,5.72
149,9.26
150,9.3
151,2.13
152,10.93
153,6.56
154,10.09
155,4.52
156,10.85
157,5.28
158,1.12
159,10.96
160,2.0
161,4.51
162,11.45
163,11.46
164,7.31
165,7.95
166,5.93
167,4.23
168,4.62
169,8.4
170,9.28
171,9.71
172,9.69
173,2.0
174,6.44
175,1.63
176,7.04
177,5.86
178,10.76
179,4.86
180,2.29
181,2.57
182,9.38
183,7.8
184,2.11
185,1.93
186,8.71
187,1.8
188,10.04
189,8.77
190,1.89
191,1.93
192,11.85
193,5.12
194,5.08
195,9.94
196,11.42
197,11.85
198,9.29
199,5.14
200,1.92
201,9.55
202,7.14
203,5.67
204,10.97
205,2.22
206,6.42
207,1.12
208,6.16
209,1.62
210,2.31
211,2.29
212,8.14
213,9.21
214,7.42
215,11.58
216,5.12
217,4.14
218,10.55
219,3.46
220,11.6
221,1.13
222,11.67
223,1.47
224,10.8
225,6.8
226,11.92
227,1.81
228,7.09
229,11.66
230,6.75
231,7.92
232,8.65
233,6.0
234,7.9
235,7.43
236,10.91
237,1.5
238,4.09
239,11.45
240,10.79
241,6.01
242,7.82
243,4.05
244,3.07
245,6.1
246,4.89
247,7.42
248,1.86
249,11.72
250,11.85
251,8.68
252,6.9
253,4.4
254,9.95
255,8.53
256,2.79
257,11.02
258,10.05
259,11.45
260,8.98
261,7.75
262,5.6
263,11.26
264,10.53
265,1.5
266,1.29
267,5.14
268,9.92
269,11.86
270,2.65
271,7.54
272,5.19
273,11.67
274,10.26
275,10.22
276,6.16
277,5.56
278,4.01
279,1.62
280,10.51
281,9.94
282,12.0
283,11.96
284,7.11
285,9.46
286,11.39
287,10.35
288,3.72
289,5.96
290,2.42
291,11.49
292,7.67
293,3.52
294,8.39
295,7.8
296,4.94
297,2.25
298,8.39
299,6.72
300,9.5
301,6.72
302,10.37
303,7.07
304,7.17
305,10.64
306,5.44
307,2.47
308,1.32
309,9.31
310,7.82
311,8.74
312,3.34
313,2.5
314,1.16
315,4.86
316,7.49
317,5.31
318,5.81
319,10.95
320,4.83
321,6.65
322,9.62
323,5.36
324,7.84
325,10.49
326,11.44
327,2.62
328,11.19
329,6.41
330,3.84
331,6.05
332,11.78
333,6.42
334,4.62
335,7.97
336,3.64
337,1.83
338,2.42
339,2.41
340,2.67
341,2.53
342,8.05
343,3.0
344,4.8
345,10.86
346,6.21
347,8.34
348,2.9
349,3.12
350,1.45
351,2.86
352,4.06
353,2.95
354,1.98
355,2.33
356,6.07
357,3.27
358,5.01
359,6.54
360,8.59
361,1.43
362,9.79
363,7.91
364,1.9
365,10.61
366,11.13
367,1.67
368,4.05
369,9.87
370,9.23
371,3.03
372,3.3
373,5.08
374,6.33
375,7.8
376,5.06
377,6.09
378,9.22
379,1.4
380,3.78
381,8.85
382,10.85
383,6.63
384,6.85
385,2.18
386,5.92
387,6.86
388,3.67
389,3.96
390,5.15
391,1.22
392,4.54
393,3.33
394,4.6
395,2.32
396,10.8
397,7.53
398,8.47
399,9.68
